"data__id","data__name","data__symbol","data__website_slug","metadata__timestamp","metadata__num_cryptocurrencies","metadata__error"
"584","WeAreSatoshi","WSX","wearesatoshi","","",""
"588","Ubiq","UBQ","ubiq","","",""
"594","BunnyCoin","BUN","bunnycoin","","",""
"597","Opal","OPAL","opal","","",""
"601","Acoin","ACOIN","acoin","","",""
"606","FoldingCoin","FLDC","foldingcoin","","",""
"623","bitUSD","BITUSD","bitusd","","",""
"624","bitCNY","BITCNY","bitcny","","",""
"625","bitBTC","BITBTC","bitbtc","","",""
"626","NuBits","USNBT","nubits","","",""
"627","Sterlingcoin","SLG","sterlingcoin","","",""
"629","Magi","XMG","magi","","",""
"633","ExclusiveCoin","EXCL","exclusivecoin","","",""
"638","Trollcoin","TROLL","trollcoin","","",""
"643","SuperNET","UNITY","supernet-unity","","",""
"644","GlobalBoost-Y","BSTY","globalboost-y","","",""
"654","DigitalPrice","DP","digitalprice","","",""
"656","Prime-XI","PXI","prime-xi","","",""
"659","Bitswift","SWIFT","bitswift","","",""
"660","Dashcoin","DSH","dashcoin","","",""
"666","AurumCoin","AU","aurumcoin","","",""
"680","Sativacoin","STV","sativacoin","","",""
"693","Verge","XVG","verge","","",""
"699","NuShares","NSR","nushares","","",""
"702","SpreadCoin","SPR","spreadcoin","","",""
"703","Rimbit","RBT","rimbit","","",""
"706","MonetaryUnit","MUE","monetaryunit","","",""
"707","Blocknet","BLOCK","blocknet","","",""
"708","Gapcoin","GAP","gapcoin","","",""
"719","TittieCoin","TTC","tittiecoin","","",""
"720","Crown","CRW","crown","","",""
"723","BitBay","BAY","bitbay","","",""
"730","GCN Coin","GCN","gcn-coin","","",""
"733","Quotient","XQN","quotient","","",""
"734","Bytecent","BYC","bytecent","","",""
"747","Bitcoin Fast","BCF","bitcoinfast","","",""
"760","OKCash","OK","okcash","","",""
"764","PayCoin","XPY","paycoin2","","",""
"766","vTorrent","VTR","vtorrent","","",""
"778","bitGold","BITGOLD","bitgold","","",""
"781","Unitus","UIS","unitus","","",""
"785","GoldPieces","GP","goldpieces","","",""
"788","Circuits of Value","COVAL","circuits-of-value","","",""
"789","Nexus","NXS","nexus","","",""
"795","SoonCoin","SOON","sooncoin","","",""
"796","MetalCoin","METAL","metalcoin","","",""
"797","IncaKoin","NKA","incakoin","","",""
"799","SmileyCoin","SMLY","smileycoin","","",""
"804","AmberCoin","AMBER","ambercoin","","",""
"812","Machinecoin","MAC","machinecoin","","",""
"813","bitSilver","BITSILVER","bitsilver","","",""
"814","Dotcoin","DOT","dotcoin","","",""
"815","Kobocoin","KOBO","kobocoin","","",""
"818","PayCon","CON","paycon","","",""
"819","Bean Cash","BITB","bean-cash","","",""
"823","GeoCoin","GEO","geocoin","","",""
"825","Tether","USDT","tether","","",""
"831","Wild Beast Block","WBB","wild-beast-block","","",""
"833","GridCoin","GRC","gridcoin","","",""
"836","Vcash","XVC","vcash","","",""
"837","X-Coin","XCO","x-coin","","",""
"841","Sharkcoin","SAK","sharkcoin","","",""
"842","Bitz","BITZ","bitz","","",""
"853","LiteDoge","LDOGE","litedoge","","",""
"855","UNCoin","UNC","uncoin","","",""
"857","SongCoin","SONG","songcoin","","",""
"859","Woodcoin","LOG","woodcoin","","",""
"865","Selfiecoin","SLFI","selfiecoin","","",""
"869","Crave","CRAVE","crave","","",""
"870","Pura","PURA","pura","","",""
"873","NEM","XEM","nem","","",""
"890","8Bit","8BIT","8bit","","",""
"892","LeaCoin","LEA","leacoin","","",""
"894","Neutron","NTRN","neutron","","",""
"895","Xaurum","XAUR","xaurum","","",""
"898","Californium","CF","californium","","",""
"911","Advanced Internet Blocks","AIB","advanced-internet-blocks","","",""
"912","EggCoin","EGG","eggcoin","","",""
"914","Sphere","SPHR","sphere","","",""
"916","MedicCoin","MEDIC","mediccoin","","",""
"918","Bubble","BUB","bubble","","",""
"920","MUSE","MUSE","bitshares-music","","",""
"921","Universal Currency","UNIT","universal-currency","","",""
"924","ShellCoin","SHELL","shellcoin","","",""
"933","Crypto","CTO","crypto","","",""
"934","ParkByte","PKB","parkbyte","","",""
"938","ARbit","ARB","arbit","","",""
"939","Gambit","GAM","gambit","","",""
"945","Bata","BTA","bata","","",""
"948","AudioCoin","ADC","audiocoin","","",""
"951","Synergy","SNRG","synergy","","",""
"954","bitEUR","BITEUR","biteur","","",""
"959","UniCoin","UNIC","unicoin","","",""
"960","FujiCoin","FJC","fujicoin","","",""
"964","EuropeCoin","ERC","europecoin","","",""
"965","The Cypherfunks","FUNK","the-cypherfunks","","",""
"977","Hexx","HXX","hexx","","",""
"978","Ratecoin","XRA","ratecoin","","",""
"983","Metal Music Coin","MTLMC3","metal-music-coin","","",""
"986","CrevaCoin","CREVA","crevacoin","","",""
"988","IrishCoin","IRL","irishcoin","","",""
"990","Bitzeny","ZNY","bitzeny","","",""
"992","Cycling Coin","CYC","cycling-coin","","",""
"993","BowsCoin","BSC","bowscoin","","",""
"994","AnarchistsPrime","ACP","anarchistsprime","","",""
"997","TAGRcoin","TAGR","tagrcoin","","",""
"998","CompuCoin","CPN","compucoin","","",""
"999","ChainCoin","CHC","chaincoin","","",""
"1002","Sprouts","SPRTS","sprouts","","",""
"1004","Helleniccoin","HNC","helleniccoin","","",""
"1008","Capricoin","CPC","capricoin","","",""
"1010","Flaxscript","FLAX","flaxscript","","",""
"1011","Cthulhu Offerings","OFF","cthulhu-offerings","","",""
"1018","BiosCrypto","BIOS","bios-crypto","","",""
"1019","Manna","MANNA","manna","","",""
"1020","Axiom","AXIOM","axiom","","",""
"1022","LEOcoin","LEO","leocoin","","",""
"1026","Aeon","AEON","aeon","","",""
"1027","Ethereum","ETH","ethereum","","",""
"1028","SJWCoin","SJW","sjwcoin","","",""
"1032","TransferCoin","TX","transfercoin","","",""
"1033","GuccioneCoin","GCC","guccionecoin","","",""
"1035","AmsterdamCoin","AMS","amsterdamcoin","","",""
